,C,Classifier,Dataset,accuracy
507,,Ensemble-1NN,TwoLeadECG,0.9939
508,,Ensemble-1NN,Two_Patterns,
509,,Ensemble-1NN,WordsSynonyms,
510,,Ensemble-1NN,synthetic_control,0.9667
511,,Ensemble-1NN,uWaveGestureLibrary_X,
512,,Ensemble-1NN,uWaveGestureLibrary_Y,
513,,Ensemble-1NN,uWaveGestureLibrary_Z,
514,,Ensemble-1NN,wafer,
515,,Ensemble-1NN,yoga,
516,,Ensemble-NaiveBayes,50words,
517,,Ensemble-NaiveBayes,Adiac,0.30180000000000007
518,,Ensemble-NaiveBayes,Beef,0.6333
519,,Ensemble-NaiveBayes,CBF,
520,,Ensemble-NaiveBayes,ChlorineConcentration,0.45520000000000005
521,,Ensemble-NaiveBayes,CinC_ECG_torso,
522,,Ensemble-NaiveBayes,Coffee,1.0
523,,Ensemble-NaiveBayes,Cricket_X,
524,,Ensemble-NaiveBayes,Cricket_Y,
525,,Ensemble-NaiveBayes,Cricket_Z,
526,,Ensemble-NaiveBayes,DiatomSizeReduction,0.7809999999999999
527,,Ensemble-NaiveBayes,ECG200,
528,,Ensemble-NaiveBayes,ECGFiveDays,0.9466
529,,Ensemble-NaiveBayes,FaceAll,
530,,Ensemble-NaiveBayes,FaceFour,0.8976999999999999
531,,Ensemble-NaiveBayes,FacesUCR,
532,,Ensemble-NaiveBayes,Fish,
533,,Ensemble-NaiveBayes,Gun_Point,
534,,Ensemble-NaiveBayes,Haptics,
535,,Ensemble-NaiveBayes,InlineSkate,
536,,Ensemble-NaiveBayes,ItalyPowerDemand,0.9270999999999999
537,,Ensemble-NaiveBayes,Lightning2,
538,,Ensemble-NaiveBayes,Lightning7,0.6849
539,,Ensemble-NaiveBayes,MALLAT,
540,,Ensemble-NaiveBayes,MedicalImages,0.17890000000000006
541,,Ensemble-NaiveBayes,MoteStrain,0.8881999999999999
542,,Ensemble-NaiveBayes,OSULeaf,
543,,Ensemble-NaiveBayes,OliveOil,
544,,Ensemble-NaiveBayes,SonyAIBORobotSurface,0.9251
545,,Ensemble-NaiveBayes,SonyAIBORobotSurfaceII,
546,,Ensemble-NaiveBayes,StarLightCurves,
547,,Ensemble-NaiveBayes,SwedishLeaf,
548,,Ensemble-NaiveBayes,Symbols,0.8874
549,,Ensemble-NaiveBayes,Trace,1.0
550,,Ensemble-NaiveBayes,TwoLeadECG,0.9903
551,,Ensemble-NaiveBayes,Two_Patterns,
552,,Ensemble-NaiveBayes,WordsSynonyms,
553,,Ensemble-NaiveBayes,synthetic_control,0.8667
554,,Ensemble-NaiveBayes,uWaveGestureLibrary_X,
555,,Ensemble-NaiveBayes,uWaveGestureLibrary_Y,
556,,Ensemble-NaiveBayes,uWaveGestureLibrary_Z,
557,,Ensemble-NaiveBayes,wafer,
558,,Ensemble-NaiveBayes,yoga,
559,,Ensemble-BayesianNetwork,50words,
560,,Ensemble-BayesianNetwork,Adiac,0.2634000000000001
561,,Ensemble-BayesianNetwork,Beef,0.8667
562,,Ensemble-BayesianNetwork,CBF,
563,,Ensemble-BayesianNetwork,ChlorineConcentration,0.5700999999999999
564,,Ensemble-BayesianNetwork,CinC_ECG_torso,
565,,Ensemble-BayesianNetwork,Coffee,1.0
566,,Ensemble-BayesianNetwork,Cricket_X,
567,,Ensemble-BayesianNetwork,Cricket_Y,
568,,Ensemble-BayesianNetwork,Cricket_Z,
569,,Ensemble-BayesianNetwork,DiatomSizeReduction,0.8626999999999999
570,,Ensemble-BayesianNetwork,ECG200,
571,,Ensemble-BayesianNetwork,ECGFiveDays,0.9779000000000001
572,,Ensemble-BayesianNetwork,FaceAll,
573,,Ensemble-BayesianNetwork,FaceFour,1.0
574,,Ensemble-BayesianNetwork,FacesUCR,
575,,Ensemble-BayesianNetwork,Fish,
576,,Ensemble-BayesianNetwork,Gun_Point,
577,,Ensemble-BayesianNetwork,Haptics,
578,,Ensemble-BayesianNetwork,InlineSkate,
579,,Ensemble-BayesianNetwork,ItalyPowerDemand,0.9281
580,,Ensemble-BayesianNetwork,Lightning2,
581,,Ensemble-BayesianNetwork,Lightning7,0.6849
582,,Ensemble-BayesianNetwork,MALLAT,
583,,Ensemble-BayesianNetwork,MedicalImages,0.28289999999999993
584,,Ensemble-BayesianNetwork,MoteStrain,0.8874
585,,Ensemble-BayesianNetwork,OSULeaf,
586,,Ensemble-BayesianNetwork,OliveOil,
587,,Ensemble-BayesianNetwork,SonyAIBORobotSurface,0.9601000000000001
588,,Ensemble-BayesianNetwork,SonyAIBORobotSurfaceII,
589,,Ensemble-BayesianNetwork,StarLightCurves,
590,,Ensemble-BayesianNetwork,SwedishLeaf,
591,,Ensemble-BayesianNetwork,Symbols,0.9085
592,,Ensemble-BayesianNetwork,Trace,1.0
593,,Ensemble-BayesianNetwork,TwoLeadECG,0.9895
594,,Ensemble-BayesianNetwork,Two_Patterns,
595,,Ensemble-BayesianNetwork,WordsSynonyms,
596,,Ensemble-BayesianNetwork,synthetic_control,0.8533
597,,Ensemble-BayesianNetwork,uWaveGestureLibrary_X,
598,,Ensemble-BayesianNetwork,uWaveGestureLibrary_Y,
599,,Ensemble-BayesianNetwork,uWaveGestureLibrary_Z,
600,,Ensemble-BayesianNetwork,wafer,
601,,Ensemble-BayesianNetwork,yoga,
602,,Ensemble-RandomForest,50words,
603,,Ensemble-RandomForest,Adiac,0.28390000000000004
604,,Ensemble-RandomForest,Beef,0.6667000000000001
605,,Ensemble-RandomForest,CBF,
606,,Ensemble-RandomForest,ChlorineConcentration,0.5734
607,,Ensemble-RandomForest,CinC_ECG_torso,
608,,Ensemble-RandomForest,Coffee,1.0
